county,year,naics,emp,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4
Multnomah,2005,621999,89,7,4,1,1,0,1,0,0,0,0,0,0,0,0
Multnomah,2005,622110,19405,8,0,0,0,0,0,0,2,0,6,0,2,3,1
Multnomah,2005,622310,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,623110,2864,40,8,0,3,7,13,7,2,0,0,0,0,0,0
Multnomah,2005,623210,1274,110,16,41,43,9,0,1,0,0,0,0,0,0,0
Multnomah,2005,623220,689,34,8,4,11,8,2,1,0,0,0,0,0,0,0
Multnomah,2005,623311,1306,22,0,2,1,9,6,4,0,0,0,0,0,0,0
Multnomah,2005,623312,1525,116,72,12,7,14,10,1,0,0,0,0,0,0,0
Multnomah,2005,623990,265,26,9,3,11,3,0,0,0,0,0,0,0,0,0
Multnomah,2005,624110,1120,61,24,12,8,9,7,1,0,0,0,0,0,0,0
Multnomah,2005,624120,742,62,33,12,7,6,3,1,0,0,0,0,0,0,0
Multnomah,2005,624190,2033,140,59,28,29,16,4,4,0,0,0,0,0,0,0
Multnomah,2005,624210,271,23,15,5,0,1,2,0,0,0,0,0,0,0,0
Multnomah,2005,624221,436,22,4,0,9,8,1,0,0,0,0,0,0,0,0
Multnomah,2005,624229,131,13,5,2,5,1,0,0,0,0,0,0,0,0,0
Multnomah,2005,624230,489,13,4,3,2,1,0,3,0,0,0,0,0,0,0
Multnomah,2005,624310,1675,43,14,9,9,8,1,1,0,1,0,0,0,0,0
Multnomah,2005,624410,2329,238,130,32,43,25,6,2,0,0,0,0,0,0,0
Multnomah,2005,711110,707,14,6,1,3,2,0,1,1,0,0,0,0,0,0
Multnomah,2005,711120,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0
Multnomah,2005,711130,333,23,13,6,2,0,1,1,0,0,0,0,0,0,0
Multnomah,2005,711190,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,711211,0,5,2,0,0,0,2,0,1,0,0,0,0,0,0
Multnomah,2005,711212,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Multnomah,2005,711219,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,711310,48,8,4,2,2,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,711320,88,16,12,2,1,1,0,0,0,0,0,0,0,0,0
Multnomah,2005,711410,39,15,12,3,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,711510,218,68,61,4,2,0,1,0,0,0,0,0,0,0,0
Multnomah,2005,712110,597,18,10,3,1,1,1,2,0,0,0,0,0,0,0
