"SERIALNO","PUMA5","HWEIGHT","UNITTYPE","PERSONS","BLDGSZ","HINC"
"0040892","00702",28,0,4,"02",95700
"0041102","01308",21,0,4,"02",25000
"0041223","01000",0,1,1,"  ",0
"0041364","01303",18,0,1,"02",9350
"0041449","00600",27,0,2,"02",67400
"0041456","01309",21,0,1,"02",31300
"0041493","00100",31,0,3,"05",6500
"0041632","01307",21,0,2,"02",131790
"0041649","01304",27,0,1,"08",17000
"0041689","00400",17,0,0,"02",0
"0041711","00300",6,0,4,"01",33060
"0041981","00701",18,0,1,"01",20000
"0042080","00500",20,0,0,"02",0
"0042144","00600",28,0,4,"06",49900
"0042264","00702",30,0,2,"02",112000
"0042383","01308",24,0,1,"02",22800
"0042414","01102",24,0,2,"02",75460
"0042480","01308",25,0,1,"09",34700
"0042759","01301",22,0,2,"02",34000
"0042839","00702",31,0,1,"02",15800
"0043051","01303",31,0,2,"02",42000
"0043339","00800",18,0,2,"01",44300
"0043478","01000",22,0,5,"01",47700
"0043709","00100",7,0,0,"02",0
"0043760","01308",18,0,3,"02",35000
"0043869","01311",12,0,2,"02",306800
"0043994","00400",22,0,4,"02",112310
"0043998","01311",27,0,2,"02",81730
"0044086","00702",19,0,1,"02",11000
"0044104","01301",15,0,2,"02",282800
"0044367","00500",23,0,0,"10",0
"0044595","01101",0,2,1,"  ",0
"0044931","01101",21,0,4,"02",32000
"0045193","01311",18,0,4,"02",174500
"0045709","01102",19,0,1,"01",24000
"0045949","01313",21,0,1,"03",31900
"0046004","01312",15,0,3,"02",53000
"0046289","01301",18,0,1,"03",36000
"0046302","01200",27,0,2,"02",37900
"0046418","01311",13,0,0,"02",0
"0046623","00100",6,0,2,"02",29700
"0046749","00300",3,0,2,"02",14000
"0047046","00500",16,0,2,"01",80100
"0047113","01102",6,0,2,"02",142500
"0047338","01303",22,0,5,"02",92000
"0047341","01000",25,0,5,"02",23000
"0047381","01303",24,0,6,"02",95340
"0047446","01101",28,0,2,"02",64400
"0047703","00500",13,0,1,"01",10
"0048074","00900",28,0,1,"01",15000
"0048100","01304",24,0,3,"02",60000
"0048147","00900",10,0,1,"02",41400
"0048288","00400",28,0,2,"02",69400
"0048328","00702",15,0,2,"01",24400
"0048452","00300",21,0,2,"02",68700
"0049257","01308",30,0,0,"05",0
"0049293","00500",6,0,0,"02",0
"0049472","00800",25,0,1,"02",33060
"0049510","00702",18,0,2,"02",48500
"0049681","01308",18,0,1,"02",9310
"0049794","00400",22,0,4,"02",228000
"0049841","01302",18,0,2,"02",30600
"0049884","00300",6,0,1,"06",6000
"0050191","01302",0,1,1,"  ",0
"0050281","00100",3,0,1,"02",22000
"0050429","00600",47,0,0,"02",0
"0050677","01102",18,0,4,"02",43600
"0050880","00701",15,0,2,"01",32000
"0050947","00200",3,0,0,"02",0
"0051155","00800",24,0,3,"02",75500
"0051378","00500",22,0,1,"08",16000
"0051474","00702",18,0,1,"02",34900
"0051481","00702",16,0,4,"02",43600
"0051566","00500",6,0,0,"10",0
"0051763","01305",28,0,3,"02",205000
"0051957","00702",19,0,2,"02",23500
"0051984","00200",7,0,0,"01",0
"0052069","01307",20,0,0,"02",0
"0052871","01303",0,2,1,"  ",0
"0053030","00500",6,0,0,"06",0
"0053041","00800",19,0,2,"02",7110
"0054142","01303",24,0,4,"02",80400
"0054163","01312",18,0,1,"07",29200
"0054205","00500",24,0,1,"04",32000
"0054318","00900",24,0,4,"02",46500
"0054594","00300",18,0,3,"02",83000
"0054785","01310",20,0,0,"02",0
"0055326","01301",19,0,1,"02",44100
"0055873","01306",27,0,4,"08",73000
"0056117","00500",6,0,0,"02",0
"0056174","01306",21,0,1,"02",22600
"0056315","01200",6,0,2,"02",26900
"0056357","01102",33,0,0,"03",0
"0056755","01309",0,1,1,"  ",0
"0056787","01304",24,0,2,"02",44800
"0056882","00100",26,0,0,"06",0
"0056895","00300",22,0,2,"02",35500
"0057563","00400",27,0,3,"01",33800
"0057623","01307",18,0,3,"02",125000
"0057776","00800",21,0,2,"02",40100
"0057830","00900",40,0,5,"01",27700
"0057847","01000",9,0,1,"01",27000
"0058019","01309",28,0,4,"02",50000
"0058072","01000",12,0,2,"02",281800
"0058203","01307",28,0,2,"02",36600
"0058237","00400",21,0,2,"07",27100
"0058244","00600",24,0,2,"05",5100
"0058306","00400",6,0,4,"01",23470
"0058494","01302",28,0,3,"09",13930
"0058552","01310",17,0,0,"02",0
"0058705","00800",34,0,1,"02",10000
"0058766","01305",24,0,1,"07",13400
"0058878","00100",28,0,1,"10",37000
"0058917","00800",19,0,2,"02",56200
"0059250","01312",12,0,4,"02",51800
"0059309","01313",40,0,0,"02",0
"0059372","01310",25,0,2,"05",109000
"0059391","01101",28,0,6,"06",22000
"0059393","00702",0,1,1,"  ",0
"0059456","01101",15,0,2,"02",120000
"0059464","01200",28,0,2,"02",33300
"0059558","00600",9,0,4,"02",36000
"0059625","00300",0,1,1,"  ",0
"0059749","01000",13,0,0,"01",0
"0059792","00300",27,0,4,"02",28800
"0060113","00500",6,0,2,"02",21120
"0060266","01102",9,0,2,"02",41800
"0060286","01311",23,0,0,"07",0
"0060660","01304",21,0,1,"03",32400
"0060799","01305",18,0,3,"02",115500
"0061476","01306",24,0,1,"02",47600
"0061567","00300",9,0,2,"02",26400
"0061637","01303",18,0,4,"02",63400
"0061690","01311",19,0,2,"02",79030
"0061821","01303",18,0,2,"02",46400
"0061929","01309",0,1,1,"  ",0
"0062045","01304",28,0,1,"02",22110
"0062197","01301",28,0,4,"05",24700
"0062204","01200",28,0,2,"02",88200
"0062282","00100",6,0,2,"02",113000
"0062401","01313",18,0,2,"02",49920
"0062437","00800",27,0,1,"01",7600
"0062481","01303",22,0,3,"02",25020
"0062731","00800",0,1,1,"  ",0
"0062906","01313",24,0,2,"02",27270
"0062988","00500",27,0,1,"02",18000
"0062996","00600",28,0,1,"07",2010
